female,wjtest01,wjtest07,wjtest10,age,cutoff,white,black,hispanic,other,freelunch,agexcutoff
1,4,9,13,0,1,0,1,0,0,1,0
1,8,5,9,110,1,0,0,1,0,1,110
0,14,10,11,206,1,0,0,1,0,1,206
1,5,7,9,13,1,0,0,1,0,,13
0,3,8,15,45,1,0,0,1,0,1,45
1,15,13,17,150,1,0,0,1,0,1,150
0,2,6,2,30,1,0,0,1,0,,30
0,3,3,0,82,1,0,0,1,0,1,82
1,13,10,11,17,1,0,0,1,0,1,17
0,5,6,6,222,1,0,0,1,0,1,222
0,,,,213,1,0,0,1,0,1,213
0,4,8,11,227,1,0,0,1,0,1,227
0,10,10,11,121,1,0,0,1,0,1,121
0,9,10,10,235,1,0,0,1,0,1,235
1,13,12,18,217,1,0,0,1,0,1,217
1,7,10,,257,1,0,1,0,0,1,257
0,11,10,11,233,1,1,0,0,0,1,233
1,7,11,11,164,1,0,0,1,0,,164
1,,,,-111,0,0,0,1,0,0,0
1,,,,-42,0,1,0,0,0,1,0
0,0,0,1,-236,0,0,0,1,0,1,0
1,,,,-85,0,0,1,0,0,0,0
0,,,,-263,0,0,0,1,0,0,0
0,,,,-191,0,0,0,1,0,1,0
1,,,,-228,0,0,1,0,0,1,0
0,2,5,5,-69,0,0,0,1,0,1,0
1,,,,-115,0,0,0,1,0,1,0
0,13,12,9,-23,0,0,1,0,0,1,0
0,,,,354,1,0,0,1,0,1,354
0,,,,132,1,0,0,1,0,,132
1,,,,301,1,0,0,1,0,1,301
1,,,,318,1,0,0,1,0,1,318
1,,,,151,1,0,0,1,0,1,151
1,6,7,9,-223,0,0,0,1,0,1,0
1,3,5,10,-118,0,0,0,1,0,1,0
1,2,5,2,-291,0,1,0,0,0,1,0
0,0,3,0,-336,0,0,0,1,0,1,0
0,0,0,0,-336,0,0,0,1,0,1,0
0,2,3,2,-232,0,0,0,1,0,1,0
1,2,5,8,-17,0,0,0,1,0,1,0
0,2,0,0,-278,0,0,1,0,0,1,0
0,2,3,11,-55,0,0,0,1,0,1,0
1,,,,-150,0,0,1,0,0,1,0
0,6,1,3,-361,0,1,0,0,0,1,0
0,5,4,9,-343,0,0,1,0,0,0,0
0,0,0,0,-242,0,0,0,1,0,1,0
1,2,7,11,-63,0,0,0,1,0,1,0
0,0,7,0,-100,0,0,0,1,0,1,0
1,7,7,0,-26,0,0,0,1,0,1,0
1,2,5,0,-220,0,0,0,1,0,1,0
0,0,3,0,-250,0,0,0,1,0,1,0
1,,,,-295,0,0,0,1,0,1,0
0,,,,-300,0,0,0,0,1,0,0
0,3,6,6,358,1,0,0,1,0,1,358
0,,,,324,1,0,1,0,0,1,324
0,,,,311,1,0,1,0,0,1,311
1,,,,201,1,0,1,0,0,1,201
1,,,,7,1,0,1,0,0,1,7
0,,,,11,1,0,1,0,0,1,11
0,,,,32,1,0,1,0,0,1,32
1,9,9,3,-74,0,0,1,0,0,1,0
1,8,10,14,-25,0,0,1,0,0,1,0
1,1,4,9,-215,0,0,1,0,0,1,0
1,4,2,4,-240,0,0,1,0,0,1,0
1,6,7,8,-117,0,0,1,0,0,1,0
1,5,3,4,-53,0,0,1,0,0,1,0
0,1,0,1,-335,0,0,1,0,0,1,0
0,1,3,6,-59,0,0,1,0,0,1,0
0,1,1,2,-297,0,0,1,0,0,1,0
1,8,8,13,-39,0,0,1,0,0,1,0
0,,,,-80,0,0,1,0,0,1,0
1,3,4,9,-319,0,0,1,0,0,1,0
1,,,5,-120,0,1,0,0,0,1,0
1,5,2,18,-101,0,1,0,0,0,1,0
0,5,5,8,-94,0,0,1,0,0,1,0
0,1,4,2,-328,0,0,0,0,1,1,0
0,,,,269,1,0,0,1,0,1,269
1,13,12,0,43,1,0,0,1,0,1,43
1,8,4,9,12,1,0,1,0,0,1,12
1,12,12,17,233,1,0,1,0,0,1,233
1,,,,128,1,1,0,0,0,1,128
1,9,7,13,-159,0,0,0,1,0,1,0
0,1,3,9,-73,0,0,1,0,0,1,0
0,1,1,6,-102,0,0,1,0,0,1,0
1,2,5,3,-17,0,0,0,1,0,1,0
1,3,5,10,-335,0,0,0,1,0,1,0
0,3,4,7,-139,0,0,0,0,1,1,0
1,0,3,0,-96,0,0,0,1,0,1,0
0,3,5,13,-137,0,0,0,1,0,1,0
1,8,6,0,-78,0,0,0,1,0,1,0
1,5,,9,-211,0,0,0,1,0,1,0
1,10,7,7,-305,0,0,1,0,0,1,0
0,4,3,0,-359,0,0,1,0,0,1,0
0,12,2,7,-102,0,0,1,0,0,1,0
1,8,4,14,-279,0,1,0,0,0,0,0
0,13,5,14,-127,0,1,0,0,0,1,0
1,1,0,0,-244,0,0,0,1,0,1,0
0,0,4,0,-90,0,0,0,1,0,1,0
0,3,3,3,-226,0,0,0,1,0,1,0
1,,,,269,1,0,1,0,0,1,269
1,,,,362,1,0,1,0,0,1,362
1,,,,348,1,0,1,0,0,1,348
1,6,8,1,74,1,1,0,0,0,1,74
0,,,,-295,0,0,1,0,0,1,0
1,,,,-102,0,1,0,0,0,1,0
1,2,5,0,-198,0,0,0,1,0,1,0
1,2,3,7,-325,0,0,1,0,0,1,0
0,15,5,10,-82,0,0,0,1,0,1,0
0,18,7,11,-11,0,0,0,1,0,1,0
0,2,8,9,-95,0,1,0,0,0,1,0
0,,,,-214,0,0,0,0,1,1,0
1,8,4,5,-173,0,1,0,0,0,1,0
0,,,,-15,0,0,0,1,0,1,0
0,12,4,9,-52,0,1,0,0,0,1,0
1,2,8,9,-56,0,0,0,1,0,1,0
1,34,15,23,-25,0,0,0,1,0,1,0
0,,,,-160,0,0,0,1,0,1,0
1,2,3,7,-325,0,0,1,0,0,1,0
0,,,,-359,0,0,0,1,0,1,0
0,4,2,1,-227,0,0,0,1,0,1,0
1,,,,-258,0,1,0,0,0,1,0
1,,,,-296,0,0,1,0,0,1,0
1,2,4,10,44,1,0,1,0,0,1,44
1,8,7,14,229,1,0,0,1,0,,229
0,5,8,16,42,1,0,1,0,0,1,42
0,4,2,11,74,1,1,0,0,0,1,74
0,0,8,0,9,1,0,0,1,0,1,9
0,,,,-118,0,1,0,0,0,1,0
0,1,5,6,-290,0,1,0,0,0,1,0
1,5,,2,-360,0,0,1,0,0,1,0
0,3,2,4,-188,0,0,1,0,0,1,0
0,2,4,8,-185,0,0,1,0,0,1,0
0,,,,-99,0,0,1,0,0,1,0
0,,,,-308,0,0,1,0,0,1,0
1,3,8,13,-248,0,1,0,0,0,1,0
1,11,7,7,-172,0,0,0,1,0,1,0
1,3,5,11,-37,0,0,1,0,0,1,0
0,7,0,11,-275,0,0,1,0,0,1,0
1,,,,-9,0,0,0,1,0,1,0
0,4,5,10,-65,0,0,1,0,0,1,0
0,8,10,8,-20,0,0,1,0,0,1,0
1,2,4,0,-350,0,0,1,0,0,1,0
0,2,5,7,-31,0,0,0,1,0,1,0
0,0,0,0,-229,0,0,0,1,0,1,0
0,5,6,9,-149,0,0,1,0,0,1,0
1,,,,347,1,0,0,1,0,1,347
0,,,,319,1,0,0,1,0,1,319
0,,,,325,1,0,0,1,0,1,325
0,5,8,8,182,1,0,0,1,0,1,182
0,5,9,16,168,1,0,1,0,0,1,168
0,3,5,1,-146,0,0,0,1,0,1,0
0,3,7,0,-266,0,0,0,1,0,1,0
0,,,,-178,0,0,0,1,0,1,0
0,,,,-341,0,1,0,0,0,0,0
1,3,6,10,-167,0,0,0,1,0,1,0
0,9,1,1,-347,0,0,0,1,0,1,0
0,2,1,7,-251,0,0,1,0,0,1,0
1,6,9,2,-173,0,0,0,1,0,1,0
1,5,7,6,-301,0,0,0,1,0,1,0
0,3,7,6,-172,0,0,0,1,0,1,0
1,3,5,4,-82,0,0,0,1,0,1,0
1,5,10,4,-44,0,0,0,1,0,1,0
1,3,5,9,-273,0,0,1,0,0,1,0
0,2,7,5,-223,0,0,0,1,0,1,0
0,9,7,13,-232,0,0,0,1,0,1,0
1,3,8,9,-187,0,0,0,1,0,1,0
1,5,10,16,-88,0,0,1,0,0,1,0
1,3,6,11,-188,0,0,1,0,0,1,0
0,3,15,14,-6,0,0,0,1,0,1,0
0,2,5,2,-29,0,0,0,1,0,1,0
1,15,13,14,341,1,0,1,0,0,1,341
0,,,,32,1,0,1,0,0,1,32
1,7,8,13,242,1,0,0,1,0,1,242
0,9,7,12,73,1,1,0,0,0,1,73
0,4,7,12,297,1,0,0,1,0,1,297
0,10,10,13,122,1,0,1,0,0,1,122
1,6,8,16,36,1,0,0,0,1,1,36
0,2,9,0,274,1,0,0,1,0,1,274
1,,,,145,1,0,0,1,0,1,145
1,0,5,0,-57,0,0,0,1,0,1,0
1,3,0,4,-101,0,0,0,1,0,1,0
0,4,7,9,-208,0,1,0,0,0,1,0
0,6,6,10,-124,0,0,1,0,0,1,0
0,0,0,0,-98,0,0,0,1,0,1,0
1,,,,-131,0,0,0,1,0,1,0
0,,2,,-4,0,0,0,1,0,1,0
0,4,6,2,-286,0,0,0,1,0,1,0
1,3,4,0,-125,0,0,0,1,0,1,0
1,0,0,0,-139,0,0,0,1,0,1,0
0,1,2,0,-165,0,0,0,1,0,1,0
0,,,,-363,0,0,1,0,0,1,0
0,2,4,9,-232,0,0,0,1,0,1,0
1,1,3,4,-133,0,0,0,1,0,1,0
1,7,7,9,-344,0,0,1,0,0,1,0
0,2,6,2,-251,0,1,0,0,0,1,0
1,1,3,,-137,0,0,0,1,0,1,0
1,2,7,10,-159,0,0,1,0,0,1,0
1,2,8,1,-170,0,0,0,1,0,1,0
0,,,,-154,0,0,0,1,0,1,0
0,9,9,15,-172,0,1,0,0,0,1,0
1,1,6,3,-142,0,1,0,0,0,1,0
0,1,1,0,-342,0,0,0,1,0,1,0
0,2,5,7,-124,0,0,0,1,0,1,0
0,3,4,0,-31,0,0,0,1,0,1,0
1,10,9,16,-54,0,0,1,0,0,1,0
0,,,,-356,0,0,0,1,0,1,0
1,4,8,10,-333,0,0,0,1,0,1,0
0,,,,-271,0,0,0,0,1,1,0
0,3,1,1,-259,0,0,0,1,0,1,0
1,6,6,8,-311,0,0,0,1,0,1,0
1,1,2,8,-316,0,1,0,0,0,1,0
0,,,,-342,0,0,0,1,0,1,0
1,,,,-279,0,0,0,1,0,1,0
1,,,,-128,0,0,0,1,0,1,0
1,3,8,10,-8,0,1,0,0,0,1,0
0,8,11,11,246,1,0,0,1,0,1,246
1,3,7,13,276,1,0,1,0,0,1,276
0,8,8,15,230,1,0,1,0,0,1,230
0,12,11,20,179,1,0,1,0,0,,179
1,12,11,15,334,1,0,0,1,0,1,334
0,,,,88,1,0,0,1,0,,88
0,2,6,2,224,1,0,1,0,0,1,224
0,12,11,16,338,1,0,0,1,0,,338
1,2,6,5,212,1,0,0,1,0,1,212
0,3,10,19,344,1,0,0,1,0,,344
1,9,8,10,122,1,0,0,1,0,1,122
1,,,,324,1,0,0,1,0,1,324
1,2,7,13,331,1,0,0,1,0,1,331
0,4,7,11,340,1,0,0,1,0,1,340
1,,,,26,1,0,1,0,0,1,26
0,0,6,11,270,1,0,1,0,0,1,270
0,6,11,16,278,1,0,0,1,0,1,278
0,6,4,2,143,1,0,0,1,0,1,143
1,10,7,15,100,1,0,0,1,0,1,100
1,13,11,15,358,1,0,0,1,0,1,358
0,2,9,11,197,1,0,0,1,0,1,197
0,6,7,2,289,1,0,0,1,0,1,289
1,9,11,15,302,1,0,0,1,0,1,302
1,13,11,18,311,1,0,0,1,0,1,311
0,11,7,7,37,1,0,0,1,0,1,37
1,13,9,17,133,1,1,0,0,0,,133
1,,,,137,1,0,1,0,0,,137
0,5,6,7,221,1,0,0,1,0,1,221
1,11,10,15,155,1,0,1,0,0,1,155
1,3,7,9,217,1,0,1,0,0,1,217
0,12,12,12,93,1,0,1,0,0,1,93
0,12,11,20,111,1,0,1,0,0,1,111
0,10,11,20,159,1,0,0,0,1,1,159
1,13,12,19,325,1,0,1,0,0,1,325
1,4,3,9,90,1,0,0,1,0,1,90
1,12,10,15,317,1,0,0,0,1,1,317
0,3,7,10,346,1,0,0,1,0,1,346
1,5,9,8,351,1,0,0,1,0,1,351
0,4,5,3,258,1,0,1,0,0,1,258
1,8,10,17,314,1,1,0,0,0,1,314
1,10,11,19,26,1,1,0,0,0,1,26
1,4,6,5,102,1,0,0,1,0,1,102
1,,,,362,1,0,0,1,0,,362
1,4,6,10,284,1,0,0,0,1,1,284
1,,,,336,1,0,0,1,0,1,336
1,12,11,14,40,1,0,1,0,0,1,40
1,7,5,11,258,1,0,1,0,0,1,258
0,,,,36,1,0,0,0,1,1,36
0,,,,95,1,0,0,1,0,1,95
0,5,5,4,238,1,0,0,1,0,1,238
1,2,5,9,326,1,0,1,0,0,1,326
1,7,6,9,350,1,0,1,0,0,1,350
1,6,7,11,78,1,0,1,0,0,1,78
0,,,,328,1,0,1,0,0,,328
1,,,,358,1,0,1,0,0,1,358
1,9,3,8,-45,0,0,1,0,0,1,0
1,2,5,12,-67,0,0,1,0,0,1,0
1,2,4,8,-343,0,0,0,1,0,0,0
1,7,4,12,-91,0,0,1,0,0,1,0
1,3,3,12,-153,0,0,0,1,0,0,0
0,,,,-328,0,0,1,0,0,1,0
0,2,1,0,-285,0,0,1,0,0,1,0
1,2,6,2,-273,0,0,0,1,0,1,0
0,,,,-8,0,1,0,0,0,1,0
1,0,3,6,-72,0,0,0,1,0,1,0
0,12,7,20,-34,0,1,0,0,0,1,0
1,2,6,8,-313,0,1,0,0,0,1,0
1,,,,-356,0,0,0,1,0,1,0
1,6,5,11,-201,0,0,0,0,1,1,0
1,2,5,10,-163,0,0,0,1,0,1,0
1,1,8,9,-28,0,0,0,1,0,1,0
0,14,10,18,-153,0,1,0,0,0,1,0
0,1,1,1,-291,0,0,0,0,1,1,0
0,1,4,1,-176,0,0,0,1,0,1,0
1,10,7,1,347,1,0,1,0,0,1,347
0,2,5,7,-216,0,0,0,1,0,1,0
0,,,,-173,0,0,1,0,0,1,0
1,7,5,8,-303,0,0,1,0,0,1,0
0,8,,10,-132,0,0,1,0,0,0,0
1,,,,-355,0,0,1,0,0,1,0
0,,,,-353,0,0,1,0,0,1,0
1,,,,-67,0,0,0,1,0,1,0
0,2,4,,-289,0,0,0,1,0,1,0
0,,,,-301,0,1,0,0,0,1,0
1,,,,-168,0,0,0,1,0,1,0
0,3,,1,-319,0,0,0,1,0,1,0
0,,,,-299,0,0,0,0,1,1,0
0,1,7,0,-101,0,0,0,1,0,1,0
0,4,6,10,-134,0,0,1,0,0,1,0
1,2,7,,-101,0,0,1,0,0,1,0
0,2,5,7,-25,0,0,1,0,0,1,0
0,,,,-195,0,0,1,0,0,1,0
1,,,,-7,0,0,0,1,0,1,0
0,,,,-326,0,0,1,0,0,1,0
1,,,,-319,0,0,1,0,0,1,0
0,,,,-348,0,0,1,0,0,1,0
1,9,7,12,-287,0,1,0,0,0,0,0
1,9,9,18,-118,0,1,0,0,0,1,0
0,,,,-296,0,0,0,1,0,1,0
1,2,5,2,-283,0,1,0,0,0,1,0
1,3,0,2,-26,0,1,0,0,0,1,0
1,6,6,11,-216,0,0,1,0,0,1,0
1,,,,-233,0,0,0,1,0,1,0
0,,,,-358,0,1,0,0,0,1,0
1,,,,-116,0,0,1,0,0,1,0
0,,,,-208,0,0,0,0,1,1,0
0,,,,-293,0,0,1,0,0,1,0
0,,,,-58,0,0,0,1,0,1,0
1,,,,-172,0,0,1,0,0,1,0
1,3,1,2,-284,0,0,1,0,0,1,0
1,9,9,10,-140,0,0,1,0,0,1,0
1,2,8,10,-19,0,0,0,1,0,1,0
1,2,1,2,-339,0,1,0,0,0,1,0
0,,,,-279,0,0,0,1,0,1,0
1,1,7,10,93,1,0,0,1,0,1,93
0,2,4,8,-112,0,0,1,0,0,1,0
0,,,,-246,0,0,0,0,1,1,0
1,3,5,0,-283,0,0,0,1,0,1,0
0,,,,-106,0,0,0,1,0,0,0
1,,,,-56,0,0,1,0,0,1,0
0,4,3,6,-213,0,1,0,0,0,1,0
0,4,7,10,-111,0,0,0,1,0,1,0
1,0,,,-78,0,0,0,1,0,1,0
1,,,,-198,0,0,0,0,1,1,0
0,0,,,-79,0,0,0,1,0,0,0
1,4,6,0,-142,0,0,0,1,0,0,0
1,13,14,14,5,1,0,1,0,0,1,5
0,3,8,12,216,1,0,0,1,0,1,216
1,4,7,5,-69,0,0,0,1,0,1,0
1,7,6,12,-148,0,1,0,0,0,1,0
0,2,0,4,-260,0,0,1,0,0,1,0
0,3,0,0,-345,0,0,0,1,0,1,0
0,,,,-118,0,0,0,1,0,1,0
1,9,1,10,-291,0,1,0,0,0,1,0
0,0,0,1,-325,0,0,0,1,0,1,0
0,6,0,2,-260,0,0,1,0,0,1,0
1,,,,-262,0,0,1,0,0,1,0
0,0,1,2,-325,0,0,0,1,0,1,0
0,,,,-231,0,0,0,1,0,1,0
1,0,7,6,-318,0,0,0,1,0,1,0
1,2,5,4,-347,0,0,0,1,0,1,0
0,3,5,9,-63,0,0,0,0,1,1,0
1,9,11,3,-261,0,0,0,1,0,1,0
1,,,,-189,0,0,0,0,1,1,0
1,6,10,15,-5,0,0,0,1,0,1,0
1,,,,-210,0,0,0,1,0,1,0
0,,,,-133,0,0,0,1,0,1,0
0,,,,-97,0,0,1,0,0,1,0
0,10,8,9,259,1,0,1,0,0,1,259
1,5,8,11,64,1,0,0,1,0,1,64
0,,,,96,1,0,0,1,0,1,96
0,,,,7,1,0,1,0,0,1,7
0,11,12,14,126,1,0,1,0,0,1,126
0,9,11,10,268,1,0,1,0,0,1,268
0,,,,67,1,0,1,0,0,1,67
1,8,9,11,149,1,0,1,0,0,1,149
1,,,,31,1,0,0,1,0,1,31
1,,,,39,1,1,0,0,0,1,39
1,4,5,11,25,1,0,0,0,1,,25
1,7,5,11,-277,0,0,1,0,0,1,0
0,,,,-211,0,0,1,0,0,1,0
0,1,4,0,-28,0,0,1,0,0,1,0
0,6,4,14,-235,0,0,1,0,0,1,0
1,8,8,11,-40,0,0,1,0,0,1,0
0,,,,-58,0,0,1,0,0,1,0
1,2,,,-135,0,0,1,0,0,1,0
1,9,5,11,-154,0,0,1,0,0,1,0
0,1,1,7,-239,0,0,0,1,0,1,0
0,3,5,4,-185,0,0,1,0,0,1,0
1,,,,-357,0,0,1,0,0,1,0
0,7,,5,-228,0,0,1,0,0,0,0
1,,,,-342,0,0,1,0,0,1,0
0,4,2,1,-268,0,0,0,0,1,1,0
0,,,,-23,0,0,1,0,0,1,0
0,3,7,2,-359,0,0,0,0,1,1,0
0,,,,-16,0,0,1,0,0,1,0
1,,,,-143,0,0,1,0,0,1,0
1,5,6,10,-17,0,0,1,0,0,1,0
0,14,6,14,-14,0,0,1,0,0,1,0
0,7,9,13,300,1,0,1,0,0,1,300
1,2,7,12,50,1,0,1,0,0,1,50
1,8,10,13,129,1,0,1,0,0,1,129
1,6,7,12,178,1,0,0,1,0,,178
1,13,10,12,180,1,0,1,0,0,1,180
1,7,10,15,220,1,1,0,0,0,,220
1,14,12,21,224,1,0,1,0,0,1,224
